TimeStep,real_f6,pred_f6
0,1.677684,1.18357594
1,1.699367,1.2941441
2,1.7089651,1.3663624
3,1.7096047,1.3954811
4,1.6944529,1.4587125
5,1.7002363,1.536864
6,1.6994389,1.5086025
7,1.6994389,1.4991735
8,1.7209047,1.492898
9,1.7137338,1.4756321
10,1.7520648,1.5114265
11,1.7337381,1.526867
12,1.6655025,1.5533595
13,1.6654658,1.5866044
14,1.6654658,1.5977592
15,1.6381814,1.5980136
16,1.6267966,1.592229
17,1.5989927,1.5686628
18,1.5657076,1.5623822
19,1.5183815,1.5615526
20,1.5021316,1.519479
21,1.5021316,1.5112163
22,1.5364795,1.51134
23,1.5005744,1.5293901
24,1.4468381,1.534533
25,1.470223,1.5442252
26,1.4600701,1.5414681
27,1.4656111,1.5303621
28,1.4656111,1.5158038
29,1.4853749,1.5167659
30,1.4276903,1.5205056
31,1.4453773,1.5500784
32,1.5142891,1.5312145
33,1.451691,1.5687749
34,1.5753897,1.5836015
35,1.5438071,1.5803683
36,1.5811969,1.5933791
37,1.6102688,1.5923822
38,1.5858456,1.5887172
39,1.5811969,1.6200819
40,1.5811969,1.633916
41,1.5119231,1.666274
42,1.5232352,1.6593904
43,1.5472238,1.6628998
44,1.5660818,1.6645335
45,1.5600334,1.6639545
46,1.5612648,1.6717767
47,1.5612648,1.654231
48,1.5378913,1.6498924
49,1.4831046,1.6457361
50,1.524986,1.6081124
51,1.3934516,1.5862193
52,1.3856403,1.6169371
53,1.3726983,1.6049971
54,1.440222,1.6083301
55,1.3911093,1.6029111
56,1.4506772,1.6328214
57,1.4357548,1.6091398
58,1.4425881,1.6158963
59,1.4425881,1.6211701
60,1.4605163,1.6184034
61,1.4099549,1.6185506
62,1.3963127,1.6185167
63,1.3973511,1.6214975
64,1.3414172,1.6173202
65,1.3363469,1.6058167
66,1.3363469,1.6040877
67,1.3487456,1.6213865
68,1.3597081,1.6104839
69,1.3896486,1.6091577
70,1.4804852,1.5962503
71,1.478964,1.5908847
72,1.4777925,1.5713011
73,1.4777925,1.574106
74,1.4712858,1.5752567
75,1.4972663,1.5659083
76,1.4982083,1.5630677
77,1.4494337,1.5654145
78,1.4600701,1.5267584
79,1.4481175,1.5076312
80,1.4481175,1.5160398
81,1.4911814,1.5230587
82,1.4700056,1.5161298
83,1.423718,1.5196845
84,1.4412,1.5179416
85,1.4649353,1.571136
86,1.4648987,1.5699215
87,1.4648987,1.5661775
88,1.4471396,1.5565243
89,1.4094001,1.564797
90,1.3835635,1.5661317
91,1.3739173,1.5671096
92,1.4105947,1.5598022
93,1.4112228,1.5611177
94,1.4112228,1.5980261
95,1.420084,1.5974178
96,1.4385678,1.6047876
97,1.4434934,1.6054379
98,1.5033872,1.5922243
99,1.5195171,1.5980882
100,1.516281,1.5879271
101,1.516281,1.5550833
102,1.4842033,1.5485724
103,1.4383872,1.5433411
104,1.4133234,1.5439247
105,1.4285113,1.5767482
106,1.4071183,1.6049644
107,1.4194925,1.5941677
108,1.4194925,1.5582102
109,1.3721788,1.5538648
110,1.3867874,1.5544036
111,1.3603715,1.5686316
112,1.3378192,1.546642
113,1.3495667,1.5314227
114,1.3537318,1.5545003
115,1.3537318,1.5689703
116,1.3384475,1.5271363
117,1.3269057,1.5329783
118,1.3707302,1.5337714
119,1.3863405,1.5012064
120,1.3847106,1.4790152
121,1.3877531,1.4586509
122,1.3877531,1.4153521
123,1.3905783,1.4081694
124,1.3627015,1.3927297
125,1.3896126,1.3888982
126,1.3410913,1.3968428
127,1.3875717,1.4056058
128,1.3895758,1.3928782
129,1.3895758,1.3989602
130,1.4278349,1.4129878
131,1.4375538,1.4052632
132,1.4492164,1.4997231
